ocid,title,url
LLE001-UA-20220105-60132,"Поліклініка",https://prozorro.sale/auction/LLE001-UA-20220105-60132
LLE001-UA-20220621-60603,null,https://prozorro.sale/auction/LLE001-UA-20220621-60603
LLE001-UA-20221216-02557,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20221216-02557
LLE001-UA-20221216-86973,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20221216-86973
UA-PS-2020-11-03-000005-3,"Центральний тепловий пункт (група приміщень №1)",https://prozorro.sale/auction/UA-PS-2020-11-03-000005-3
UA-PS-2020-11-03-000006-3,"Центральний тепловий пункт (групи приміщень №№1,2,3)",https://prozorro.sale/auction/UA-PS-2020-11-03-000006-3
UA-PS-2020-11-03-000007-3,"Центральний тепловий пункт (група приміщень №№1,2)",https://prozorro.sale/auction/UA-PS-2020-11-03-000007-3
UA-PS-2020-11-03-000008-3,"Центральний тепловий пункт (група приміщень №1)",https://prozorro.sale/auction/UA-PS-2020-11-03-000008-3
UA-PS-2020-11-23-000065-2,"ТЕРАПЕВТИЧНИЙ КОРПУС",https://prozorro.sale/auction/UA-PS-2020-11-23-000065-2
UA-PS-2020-12-24-000059-3,"ПРОХІДНА",https://prozorro.sale/auction/UA-PS-2020-12-24-000059-3
UA-PS-2021-05-25-000132-1,"ЛАБОРАТОРНО-ДІАГНОСТИЧНИЙ КОРПУС",https://prozorro.sale/auction/UA-PS-2021-05-25-000132-1
LLD001-UA-20211119-90457,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLD001-UA-20211119-90457
LLD001-UA-20221229-97762,"РИНОК",https://prozorro.sale/auction/LLD001-UA-20221229-97762
LLD001-UA-20230609-47163,"Механічний цех",https://prozorro.sale/auction/LLD001-UA-20230609-47163
LLE0011-UA-20241025-78324,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE0011-UA-20241025-78324
LLE001-20241003-86914,"КІНОТЕАТР ""БРАТИСЛАВА""",https://prozorro.sale/auction/LLE001-20241003-86914
LLE001-UA-20210723-18521,"ТЕРАПЕВТИЧНИЙ КОРПУС (літ. Л)",https://prozorro.sale/auction/LLE001-UA-20210723-18521
LLE001-UA-20210813-4858,"ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20210813-4858
LLE001-UA-20210813-56509,"СТОМАТОЛОГІЧНА ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20210813-56509
LLE001-UA-20210902-48761,"ГОЛОВНИЙ КОРПУС з ПІДЗЕМНОЮ ГАЛЕРЕЄЮ (ЛІКАРНЯ НА 120 ЛІЖ. З ПОЛІКЛІНІКОЮ НА 150 ВІДВІДУВАНЬ)",https://prozorro.sale/auction/LLE001-UA-20210902-48761
LLE001-UA-20210914-51011,"СКЛАД",https://prozorro.sale/auction/LLE001-UA-20210914-51011
LLE001-UA-20210914-96556,null,https://prozorro.sale/auction/LLE001-UA-20210914-96556
LLE001-UA-20210915-27861,"СКЛАД",https://prozorro.sale/auction/LLE001-UA-20210915-27861
LLE001-UA-20210915-90827,"ЦЕХ ПРОФІЛАКТОРІЙ",https://prozorro.sale/auction/LLE001-UA-20210915-90827
LLE001-UA-20210921-93152,"ГАРАЖ НА 5 АВТО, РЕМОНТНІ МАЙСТЕРНІ, СКЛАДСЬКІ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20210921-93152
LLE001-UA-20211104-16354,"БУДИНОК МАЙСТЕРНІ N 1 (ЛІТЕРА ""В"")",https://prozorro.sale/auction/LLE001-UA-20211104-16354
LLE001-UA-20211110-84969,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20211110-84969
LLE001-UA-20211117-04381,"БУДИНОК МАЙСТЕРНІ N 1 (ЛІТЕРА ""В"")",https://prozorro.sale/auction/LLE001-UA-20211117-04381
LLE001-UA-20211117-40387,"БУДИНОК ПОСТУ ПРОФІЛАКТОРІЮ (ЛІТЕРА ""Е"")",https://prozorro.sale/auction/LLE001-UA-20211117-40387
LLE001-UA-20211117-77840,"АДМІНІСТРАТИВНО-ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20211117-77840
