ocid,title,url
6137,"окремостояча (нежитлові приміщення БПО",https://prozorro.sale/planning/RGL001-UA-20231212-98247
6194,"нежитлове приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20240123-51191
6206,"УЧБОВЕ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20240315-82514
6212,"нежитлове приміщення в житловому",https://prozorro.sale/planning/RGL001-UA-20220104-44259
6229,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20240801-75339
6396,"СМІТТЄЗБІРНИК",https://prozorro.sale/planning/RGL001-UA-20220125-87168
6515,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20240709-33040
6547,"ПІДЗЕМНИЙ ПЕРЕХІД І ДОПОМІЖНІ ПРИМІЩЕННЯ (ПІДЗЕМНІ)",https://prozorro.sale/auction/LLE001-UA-20240813-33335
6565,"ЛІКУВАЛЬНИЙ КОРПУС",https://prozorro.sale/planning/RGL001-UA-20250311-97515
6606,"КАФЕ",https://prozorro.sale/auction/LLE001-UA-20250507-87556
6728,"нежитлові приміщення в житловому",https://prozorro.sale/planning/RGL001-UA-20240802-11001
6805,"РИНОК",https://prozorro.sale/auction/LLD001-UA-20250602-94991
6819,null,https://prozorro.sale/auction/LLE001-UA-20250203-71975
6856,"ПОБУТОВІ ПОСЛУГИ",https://prozorro.sale/auction/LLD001-UA-20241107-26432
6861,"ШКОЛА №298",https://prozorro.sale/auction/LLE001-UA-20241108-61696
6968,"Лікувально-профілактичні",https://prozorro.sale/auction/LLE001-UA-20241227-40932
6974,"СКЛАДСЬКЕ ПРИМІЩЕННЯ",https://prozorro.sale/planning/RGL001-UA-20250213-31482
6976,"оренда, вільне 83,6 кв.м, з них: 22,6 кв.м - триває процес укладення договору оренди",https://prozorro.sale/planning/RGL001-UA-20250507-83086
6982,"нежитлове приміщення в житловому",https://prozorro.sale/planning/RGL001-UA-20230426-71582
6986,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230426-82479
