id,isPartOf,title,kind,type,description,ownerName,ownerId,balanceHolderName,balanceHolderId,userName,userId,dk018classId,dk018classDescription,unitName,area,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,registrationStatus,registrationId,registrationDate,constructionReadiness,condition,utilitiesAvailable,validityDate
32128,null,"ТЕПЛОВИЙ ПУНКТ",null,"ОКРЕМО СТОЯЧИЙ","ТЕПЛОВИЙ ПУНКТ",Київська міська рада,22883141,"АКЦІОНЕРНЕ ТОВАРИСТВО К.ЕНЕРГО","00131305",null,null,null,null,кв. м.,"54.04",UA80000000000093317,"03150     ",Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ВАСИЛЯ ТЮТЮННИКА (БАРБЮСА АНРІ)",xxx,null,null,Невідомо,null,null,null,"НЕЗАДОВІЛЬНИЙ",null,2006-03-29
32265,null,"ГАРАЖ",null,"ОКРЕМО СТОЯЧИЙ","ГАРАЖ",Київська міська рада,22883141,"АКЦІОНЕРНЕ ТОВАРИСТВО К.ЕНЕРГО","00131305",null,null,null,null,кв. м.,"19.8",UA80000000000093317,null,Україна,м. Київ,null,null,null,"СОЛОМ'ЯНСЬКИЙ","ГАВЕЛА ВАЦЛАВА (ЛЕПСЕ ІВАНА БУЛЬВ.)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2006-04-03
32430,null,"РП-374",null,"ОКРЕМО СТОЯЧИЙ","ІНШЕ",Київська міська рада,22883141,"АКЦІОНЕРНЕ ТОВАРИСТВО К.ЕНЕРГО","00131305",null,null,null,null,кв. м.,"113.8",UA80000000000093317,"02068     ",Україна,м. Київ,null,null,null,"ДАРНИЦЬКИЙ","РЕВУЦЬКОГО",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2006-03-29
34848,null,"ТЕПЛОВИЙ ПУНКТ-5844",null,"ОКРЕМО СТОЯЧИЙ","ТЕПЛОВИЙ ПУНКТ",Київська міська рада,22883141,"АКЦІОНЕРНЕ ТОВАРИСТВО К.ЕНЕРГО","00131305",null,null,null,null,кв. м.,"94.9",UA80000000000093317,"02002     ",Україна,м. Київ,null,null,null,"ДНІПРОВСЬКИЙ","МИТРОПОЛИТА АНДРЕЯ ШЕПТИЦЬКОГО (ЛУНАЧАРСЬКОГО)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2006-03-29
61527,null,"БУДІВЛЯ ХАРЧОБЛОКУ",null,null,null,Київська міська рада,22883141,"УПРАВЛІННЯ ОСВІТИ ОБОЛОНСЬКОЇ РАЙОННОЇ В МІСТІ КИЄВІ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","37445442",null,null,null,null,кв. м.,"881.1",UA80000000000093317,null,Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","НОВИКОВА-ПРИБОЯ",xxx,null,null,Зареєстровано,"1720660880000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-10-09
61550,null,"СМІТТЄЗБІРНИК",null,null,null,Київська міська рада,22883141,"УПРАВЛІННЯ ОСВІТИ ОБОЛОНСЬКОЇ РАЙОННОЇ В МІСТІ КИЄВІ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","37445442",null,null,null,null,кв. м.,"15.3",UA80000000000093317,null,Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","БОГАТИРСЬКА",xxx,null,null,Зареєстровано,"1660486280000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-09-12
61553,null,"ГОСПОДАРЧА БУДІВЛЯ",null,null,null,Київська міська рада,22883141,"УПРАВЛІННЯ ОСВІТИ ОБОЛОНСЬКОЇ РАЙОННОЇ В МІСТІ КИЄВІ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","37445442",null,null,null,null,кв. м.,"19.9",UA80000000000093317,null,Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","ЙОРДАНСЬКА (ГАВРО ЛАЙОША)",xxx,null,null,Зареєстровано,"1696053580000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-09-12
61575,null,"СМІТТЄЗБІРНИК",null,null,null,Київська міська рада,22883141,"УПРАВЛІННЯ ОСВІТИ ОБОЛОНСЬКОЇ РАЙОННОЇ В МІСТІ КИЄВІ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","37445442",null,null,null,null,кв. м.,"7.6",UA80000000000093317,null,Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","ВИШГОРОДСЬКА",xxx,null,null,Зареєстровано,"1706769980000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-10-07
61577,null,"САРАЙ-СМІТТЄЗБІРНИК",null,null,null,Київська міська рада,22883141,"УПРАВЛІННЯ ОСВІТИ ОБОЛОНСЬКОЇ РАЙОННОЇ В МІСТІ КИЄВІ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","37445442",null,null,null,null,кв. м.,"18.2",UA80000000000093317,null,Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","АВТОЗАВОДСЬКА",xxx,null,null,Зареєстровано,"1707050480000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-09-24
1691,null,"МУЗЕЙ М. ГРУШЕВСЬКОГО","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ","МУЗЕЙ",Київська міська рада,22883141,"МУЗЕЙ ІСТОРІЇ МІСТА КИЄВА","05534195",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,"722.7",UA80000000000093317,"01033",Україна,м. Київ,null,null,null,"ГОЛОСІЇВСЬКИЙ","ПАНЬКІВСЬКА",xxx,null,null,Зареєстровано,"3106248780000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-06-19
48556,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Ж/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"ТЕРИТОРІАЛЬНИЙ ЦЕНТР СОЦ. ОБСЛУГОВУВАННЯ  ПЕЧЕРСЬКОГО Р-НУ","22870397",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"364.0",UA80000000000093317,"01103",Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","БУЛЬВАР МИКОЛИ МІХНОВСЬКОГО (БУЛЬВАР ДРУЖБИ НАРОДІВ)",xxx,null,null,Зареєстровано,"2616563080000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-12-26
2053,null,"ЛІКУВАЛЬНИЙ КОРПУС","10.1264.2-Будівлі лікувально-профілактичні","ОКРЕМО СТОЯЧИЙ","ЛІКУВАЛЬНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КЛІНІЧНИЙ ЗАКЛАД З НАДАННЯ ПСИХІАТРИЧНОЇ ДОПОМОГИ ПСИХІАТРІЯ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","01994072",null,null,"10.1264.2","Будівлі лікувально-профілактичні",кв. м.,"4048.8",UA80000000000093317,"04080",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","КИРИЛІВСЬКА (ФРУНЗЕ)",xxx,null,null,Зареєстровано,"1443879180000",null,null,"ПОТРЕБУЄ РЕМОНТУ",null,2025-04-15
59707,null,"адміністративно-лікувальний корпус","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНО-ЛІКУВАЛЬНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КЛІНІЧНИЙ ЗАКЛАД З НАДАННЯ ПСИХІАТРИЧНОЇ ДОПОМОГИ ПСИХІАТРІЯ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","01994072",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,"3118.5",UA80000000000093317,"04080",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","КИРИЛІВСЬКА (ФРУНЗЕ)",xxx,null,null,Зареєстровано,"1495237680000",null,null,"ПОТРЕБУЄ РЕМОНТУ",null,2025-04-15
43934,null,"ГАРАЖ","10.1242.10.000-Гаражні бокси","ОКРЕМО СТОЯЧИЙ","ГАРАЖ",Київська міська рада,22883141,"ДЕПАРТАМЕНТ ЕКСПЛУАТАЦІЇ КАНАЛІЗАЦІЙНОГО ГОСПОДАРСТВА УПРАВЛІННЯ ЕКСПЛУАТАЦІЇ КАНАЛІЗАЦІЙНИХ МЕРЕЖ  І НАСОСНИХ СТАНЦІЙ ПрАТ ""АК ""КИЇВВОДОКАНАЛ""","26112475",null,null,"10.1242.10.000","Гаражні бокси",кв. м.,"120.0",UA80000000000093317,"02125",Україна,м. Київ,null,null,null,"ДНІПРОВСЬКИЙ","ГЕОРГІЯ НАРБУТА (ВИЗВОЛИТЕЛІВ ПР.)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-02
26912,null,"ГАРАЖ № 6","10.1242.20.001-Паркінгі підземні","ПІДЗЕМНЕ","ГАРАЖ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО АВТОТРАНСПОРТНИК ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","32106047",null,null,"10.1242.20.001","Паркінгі підземні",кв. м.,"675.9",UA80000000000093317,"02232",Україна,м. Київ,null,null,null,"ДЕСНЯНСЬКИЙ","ОНОРЕ ДЕ БАЛЬЗАКА",xxx,null,null,Зареєстровано,"1745617080000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-03-14
54107,null,"КІНОТЕАТР ""ІМ.Т.ШЕВЧЕНКА""","10.1261.10.007-Будівлі кінотеатрів","ОКРЕМО СТОЯЧИЙ","КІНОТЕАТР",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ ) ""КИЇВКУЛЬТКЛАСТЕР""","35531906",null,null,"10.1261.10.007","Будівлі кінотеатрів",кв. м.,"1398.0",UA80000000000093317,"04114",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","ВИШГОРОДСЬКА",xxx,null,null,Зареєстровано,"1364346780000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-10
15863,null,"ТЕПЛОВИЙ ПУНКТ",null,"ОКРЕМО СТОЯЧИЙ","ТЕПЛОВИЙ ПУНКТ",Київська міська рада,22883141,"АКЦІОНЕРНЕ ТОВАРИСТВО К.ЕНЕРГО","00131305",null,null,null,null,кв. м.,"106.41",UA80000000000093317,"04050     ",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","СІЧОВИХ СТРІЛЬЦІВ (АРТЕМА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2006-03-29
42264,null,"АРТЕЗІАНСЬКА СВЕРДЛОВИНА","10.2222.40.001-Бювети","ОКРЕМО СТОЯЧИЙ","АРТЕЗІАНСЬКА СВЕРДЛОВИНА",Київська міська рада,22883141,"СПЕЦІАЛІЗОВАНЕ ВОДОГОСПОДАРСЬКЕ КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) ""КИЇВВОДФОНД""","37292855",null,null,"10.2222.40.001","Бювети",кв. м.,"1.0",UA80000000000093317,"04214",Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","ГЕРОЇВ ДНІПРА",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-13
42283,null,"АРТЕЗІАНСЬКА СВЕРДЛОВИНА","10.2222.40.001-Бювети","ОКРЕМО СТОЯЧИЙ","АРТЕЗІАНСЬКА СВЕРДЛОВИНА",Київська міська рада,22883141,"СПЕЦІАЛІЗОВАНЕ ВОДОГОСПОДАРСЬКЕ КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) ""КИЇВВОДФОНД""","37292855",null,null,"10.2222.40.001","Бювети",кв. м.,"9.1",UA80000000000093317,"03191",Україна,м. Київ,null,null,null,"ГОЛОСІЇВСЬКИЙ","ГЕРОЇВ МАРІУПОЛЯ (МАРШАЛА ЯКУБОВСЬКОГО)",xxx,null,null,Зареєстровано,"2193233480000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-17
