buildingId,isPartOf,buildingTitle,kind,type,description,ownercustodianName,ownercustodianId,balanceHolderName,balanceHolderId,userName,userId,dk018classId,dk018classDescription,unitName,buildingArea,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,registrationStatus,registrationId,registrationDate,constructionReadiness,condition,utilitiesAvailable,validityDate,utilitiesAvailableWaterSupply,utilitiesAvailableHeatingSupply,utilitiesAvailableElectricNetwork,utilitiesAvailableGasSupply
52-45906,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,245.4,UA80000000000093317,"03142",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","БУЛЬВАР АКАДЕМІКА ВЕРНАДСЬКОГО",xxx,null,null,Зареєстровано,"1376405580000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03,true,true,"приєднана потужність до 20 кВт",false
55-46009,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,64.6,UA80000000000093317,"04214",Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","ГЕРОЇВ ДНІПРА",xxx,null,null,Зареєстровано,"2139439080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03,true,true,null,false
66-45909,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,207.8,UA80000000000093317,"03148",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","ПОКОТИЛА ВОЛОДИМИРА (КАРТВЕЛІШВІЛІ)",xxx,null,null,Зареєстровано,"2013952180000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03,true,true,"приєднана потужність до 20 кВт",false
92-46023,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,15.0,UA80000000000093317,"02032",Україна,м. Київ,null,null,null,"ДЕСНЯНСЬКИЙ","ЧЕРВОНОЇ КАЛИНИ (ВОЛОДИМИРА МАЯКОВСЬКОГО)",xxx,null,null,Зареєстровано,"2675353180000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-05-05,true,true,null,false
109-48921,null,"Багатофункціональні","10.6000.02.001-Багатофункціональні нежитлові приміщення","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ СВЯТОШИНСЬКОГО РАЙОНУ М. КИЄВА""","39607507",null,null,"10.6000.02.001","Багатофункціональні нежитлові приміщення",кв. м.,29.5,UA80000000000093317,"03115",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","ГЕТЬМАНА КИРИЛА РОЗУМОВСЬКОГО (МИКОЛИ КРАСНОВА)",xxx,null,null,Зареєстровано,"1790719080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-02,true,true,"однофазний струм (220)",false
130-46118,null,"МАГАЗИН","10.1220.10.023-Будівлі адміністративні","ПРИБУДОВАНЕ ПРИМІЩ. ДО Ж/Б","МАГАЗИН",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,120.9,UA80000000000093317,"04201",Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","РОКОССОВСЬКОГО МАРШАЛА ПРОСП.",xxx,null,null,Зареєстровано,"2182921280000,2182871080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-05-05,true,true,null,false
135-46180,null,"АДМІНІСТРАТИВНО-ПОБУТОВЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНО-ПОБУТОВЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,249.5,UA80000000000093317,"252111",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","МРІЇ (ТУПОЛЄВА АКАДЕМІКА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03,true,true,"приєднана потужність до 20 кВт",false
145-48933,null,"ВІЛЬНЕ","10.6000.02.008-Вільні нежитлові приміщення","ПРИМІЩЕННЯ В Ж/Б","СКЛАД",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ СВЯТОШИНСЬКОГО РАЙОНУ М. КИЄВА""","39607507",null,null,"10.6000.02.008","Вільні нежитлові приміщення",кв. м.,62.9,UA80000000000093317,"03115",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Зареєстровано,"1285567480000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-02,false,false,"однофазний струм (220)",false
166-45923,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,21.0,UA80000000000093317,"02091",Україна,м. Київ,null,null,null,"ДАРНИЦЬКИЙ","ХАРКІВСЬКЕ ШОСЕ",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03,true,true,"приєднана потужність до 20 кВт",false
180-49571,null,"АДМІНІСТРАТИВНЕ, ВІЛЬНІ","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,250.6,UA80000000000093317,"04136",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","СИРЕЦЬКА",xxx,null,null,Зареєстровано,"1717023680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-01-12,true,true,"інформація відсутня",false
268-16789,null,"незаконно відчуженне нежитлове приміщення, відкрито кримінальне провадження",null,"ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,null,null,кв. м.,65.5,UA80000000000093317,"04053",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","СІЧОВИХ СТРІЛЬЦІВ (АРТЕМА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2024-06-04,true,false,null,false
269-17107,null,null,null,"ПРИМІЩЕННЯ В Ж/Б",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,null,null,кв. м.,33.6,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","СІЧОВИХ СТРІЛЬЦІВ",xxx,null,null,Зареєстровано,"1229582280000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-11-12,true,true,null,false
318-47989,null,"Лікувально-профілактичні","10.1264.40.003-Будівлі поліклінік","ОКРЕМО СТОЯЧИЙ","ПОЛІКЛІНІКА",Київська міська рада,22883141,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 2"" ШЕВЧЕНКІВСЬКОГО РАЙОНУ МІСТА КИЄВА","38948312",null,null,"10.1264.40.003","Будівлі поліклінік",кв. м.,91.6,UA80000000000093317,"04050",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ПИМОНЕНКА МИКОЛИ",xxx,null,null,Зареєстровано,"1239375780000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-05-21,true,true,null,false
323-47988,null,"ЛІКУВАЛЬНО-ПРОФІЛАКТИЧНІ","10.1264.40.003-Будівлі поліклінік","ОКРЕМО СТОЯЧИЙ","ПОЛІКЛІНІКА",Київська міська рада,22883141,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 2"" ШЕВЧЕНКІВСЬКОГО РАЙОНУ МІСТА КИЄВА","38948312",null,null,"10.1264.40.003","Будівлі поліклінік",кв. м.,111.9,UA80000000000093317,"04050",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БІЛОРУСЬКА",xxx,null,null,Зареєстровано,"1239399680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-03-14,true,true,null,false
350-48396,null,"вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,137.8,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","АРСЕНАЛЬНА",xxx,null,null,Зареєстровано,"1290177680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-25,false,false,"однофазний струм (220)",false
351-48453,null,"оренда-ГО, вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,39.5,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ЛЕВАНДОВСЬКА (АНІЩЕНКА)",xxx,null,null,Зареєстровано,"1553992080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-19,true,true,null,false
353-48016,null,"оренда- ФПО-П (побутове обслуг. населення), ГУ НП (розміщ. офіцерів поліції), вільне","10.6000.01-Приміщення в житлових будинках та спорудах","ПРИМІЩЕННЯ В Ж/Б","ПОБУТОВІ ПОСЛУГИ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.6000.01","Приміщення в житлових будинках та спорудах",кв. м.,27.2,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","БАСТІОННА",xxx,null,null,Зареєстровано,"1064595580000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-28,false,false,"однофазний струм (220)",false
370-15043,null,"буфет, вільне","10.6000.01-Приміщення в житлових будинках та спорудах","ПРИМІЩЕННЯ В Ж/Б","БУФЕТ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.6000.01","Приміщення в житлових будинках та спорудах",кв. м.,40.4,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ГОНЧАРА ОЛЕСЯ",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-01-31,false,false,null,false
387-14909,null,"вільне",null,"ПРИМІЩЕННЯ В Ж/Б",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,null,null,кв. м.,70.0,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ДМИТРІВСЬКА",xxx,null,null,Невідомо,null,null,null,"РЕКОНСТРУКЦІЯ",null,2025-02-03,false,false,null,false
391-2086,null,"РИНОК","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ","РИНОК",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВОЛОДИМИРСЬКИЙ РИНОК","01565129",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,58.5,UA80000000000093317,"03150",Україна,м. Київ,null,null,null,"ГОЛОСІЇВСЬКИЙ","АНТОНОВИЧА (ГОРЬКОГО)",xxx,null,null,Зареєстровано,"1046726680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-03,false,false,"однофазний струм (220)",false
397-2086,null,"РИНОК","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ","РИНОК",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВОЛОДИМИРСЬКИЙ РИНОК","01565129",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,39.9,UA80000000000093317,"03150",Україна,м. Київ,null,null,null,"ГОЛОСІЇВСЬКИЙ","АНТОНОВИЧА (ГОРЬКОГО)",xxx,null,null,Зареєстровано,"1046726680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-03,false,false,"однофазний струм (220)",false
400-2086,null,"РИНОК","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ","РИНОК",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВОЛОДИМИРСЬКИЙ РИНОК","01565129",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,50.9,UA80000000000093317,"03150",Україна,м. Київ,null,null,null,"ГОЛОСІЇВСЬКИЙ","АНТОНОВИЧА (ГОРЬКОГО)",xxx,null,null,Зареєстровано,"1046726680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-03,false,false,"однофазний струм (220)",false
401-2086,null,"РИНОК","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ","РИНОК",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВОЛОДИМИРСЬКИЙ РИНОК","01565129",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,10.3,UA80000000000093317,"03150",Україна,м. Київ,null,null,null,"ГОЛОСІЇВСЬКИЙ","АНТОНОВИЧА (ГОРЬКОГО)",xxx,null,null,Зареєстровано,"1046726680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-03,false,false,"однофазний струм (220)",false
402-2086,null,"РИНОК","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ","РИНОК",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ВОЛОДИМИРСЬКИЙ РИНОК","01565129",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,46.0,UA80000000000093317,"03150",Україна,м. Київ,null,null,null,"ГОЛОСІЇВСЬКИЙ","АНТОНОВИЧА (ГОРЬКОГО)",xxx,null,null,Зареєстровано,"1046726680000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-03,false,false,"однофазний струм (220)",false
407-13552,null,"власні потреби (адмінприміщення), вільні, об’єкт цивільної оборони (найпростіше укриття) -54,5 кв.м","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,121.1,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ДОВЖЕНКА",xxx,null,null,Зареєстровано,"22547780800",null,null,"ЗАДОВІЛЬНИЙ",null,2024-10-31,false,false,null,false
416-48191,null,"вільне, власні потреби","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,91.0,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ВЕЛИКА ВАСИЛЬКІВСЬКА (ЧЕРВОНОАРМІЙСЬКА)",xxx,null,null,Зареєстровано,"1739076780000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-03-11,false,false,null,false
426-48215,null,"оренда- офіс, вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,150.8,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ГОРОДЕЦЬКОГО АРХІТЕКТОРА",xxx,null,null,Зареєстровано,"1926960280000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-03-21,true,false,"однофазний струм (220)",false
430-48452,null,"вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,397.2,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ЛЕВАНДОВСЬКА (АНІЩЕНКА)",xxx,null,null,Зареєстровано,"1288076480000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-07,false,false,"однофазний струм (220)",false
431-48227,null,"вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,126.1,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ЛЕВАНДОВСЬКА (АНІЩЕНКА)",xxx,null,null,Зареєстровано,"1290116180000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-19,false,false,"однофазний струм (220)",false
440-18206,null,"69,1 кв.м -об’єкт цивільної оборони (укриття)",null,"ПРИМІЩЕННЯ В Ж/Б",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,null,null,кв. м.,69.1,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","КОСТЕЛЬНА (ЧЕЛЮСКІНЦІВ)",xxx,null,null,Зареєстровано,"1106189480000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-05-07,true,true,null,false
441-13572,null,"бібліотека, вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","БІБЛІОТЕКА",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,121.0,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ТАБІРНА (ЛАГЕРНА)",xxx,null,null,Зареєстровано,"2494263080000, 2574436180000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-11-12,false,false,null,false
443-47608,null,"вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,204.2,UA80000000000093317,"01011",Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ГУСОВСЬКОГО",xxx,null,null,Зареєстровано,"1291512880000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-19,true,true,null,false
445-48345,null,"вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,123.6,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ГУСОВСЬКОГО",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-19,true,true,null,false
446-48406,null,"вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,295.2,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ГУСОВСЬКОГО",xxx,null,null,Зареєстровано,"1926372180000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-25,true,false,null,false
467-48165,null,"оренда- відділення поштового зв язку, вільні, власні потреби (тех. дільниця)","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПЕЧЕРСЬКОГО РАЙОНУ М.КИЄВА""","35692211",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,73.1,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПЕЧЕРСЬКИЙ","ЄВГЕНА ГУЦАЛА ПРОВ. (КУТУЗОВА ПРОВ.)",xxx,null,null,Зареєстровано,"1144724080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-02-28,false,false,null,false
471-12209,null,"1 поверх -12,5 кв.м; підвал -242,6 кв.м -(об’єкт цивільної оборони (найпростіше укриття)","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,255.1,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ТЕЛІГИ ОЛЕНИ (КОРОТЧЕНКА)",xxx,null,null,Зареєстровано,"149738498000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-10-28,true,true,null,false
