buildingId,isPartOf,buildingTitle,kind,type,description,ownercustodianName,ownercustodianId,balanceHolderName,balanceHolderId,userName,userId,dk018classId,dk018classDescription,unitName,buildingArea,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,registrationStatus,registrationId,registrationDate,constructionReadiness,condition,utilitiesAvailable,validityDate,utilitiesAvailableWaterSupply,utilitiesAvailableHeatingSupply,utilitiesAvailableElectricNetwork,utilitiesAvailableGasSupply
5768-49437,null,null,"10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Н/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,29.7,UA80000000000093317,"254086",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","ТЕЛІГИ ОЛЕНИ (КОРОТЧЕНКА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-06-30,true,true,"однофазний струм (220)",false
5792-56302,null,"АДМІНІСТРАТИВНЕ","10.1264.40.003-Будівлі поліклінік","ПРИМІЩЕННЯ В Ж/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИЇВСЬКА СТОМАТОЛОГІЯ"" КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","42376659",null,null,"10.1264.40.003","Будівлі поліклінік",кв. м.,392.5,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ЧЕХОВСЬКИЙ ПРОВ.",xxx,null,null,Зареєстровано,"1579043480000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-02,true,true,"трифазний струм (220/380)",false
5793-49575,null,null,"10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,121.9,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","СВІТЛИЦЬКОГО",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-01-13,false,false,null,false
5794-49424,null,"вільне","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,64.0,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","КИРИЛІВСЬКА (ФРУНЗЕ)",xxx,null,null,Зареєстровано,"1778171880000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-06-30,false,false,null,false
5796-49684,null,null,"10.1230.60.009-Сміттєзбірники","СПОРУДА","СМІТТЄЗБІРНИК",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.1230.60.009","Сміттєзбірники",кв. м.,25.0,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","ГАЛИЦЬКА",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-06-30,false,false,null,false
5800-49507,null,"ВІЛЬНІ","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,118.6,UA80000000000093317,"04123",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","ЇЖАКЕВИЧА ІВАНА",xxx,null,null,Зареєстровано,"1892360280000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-06-30,false,false,null,false
5801-14877,null,"вільні (підвал -38,2 кв.м -доступ до приміщення відсутній)","10.6000.02.008-Вільні нежитлові приміщення","ОКРЕМО СТОЯЧИЙ","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.6000.02.008","Вільні нежитлові приміщення",кв. м.,38.2,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БУЛЬВАРНО-КУДРЯВСЬКА (ВОРОВСЬКОГО)",xxx,null,null,Зареєстровано,"1173206280000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-08-06,false,false,null,false
5802-49531,null,"вільне - мешканці блокують доступ - планують створення ОСББ","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,144.9,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","БЕСТУЖЕВА ПРОВ.",xxx,null,null,Зареєстровано,"1908886580000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-07-02,false,false,null,false
5824-49565,null,"АДМІНІСТРАТИВНЕ","10.12-Будівлі (приміщення) нежитлові","ПРИМІЩЕННЯ В Ж/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ПОДІЛЬСЬКОГО РАЙОНУ М.КИЄВА""","39609111",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,107.2,UA80000000000093317,"01436",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","СИРЕЦЬКА",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-06-30,false,false,"однофазний струм (220)",false
5836-51969,null,null,"10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ДЕСНЯНСЬКОГО РАЙОНУ М.КИЄВА""","39605452",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,20.22,UA80000000000093317,"02222",Україна,м. Київ,null,null,null,"ДЕСНЯНСЬКИЙ","СЕРЖА ЛИФАРЯ (САБУРОВА ОЛЕКСАНДРА)",xxx,null,null,Зареєстровано,"2749562980000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-01-13,true,true,null,false
